"Issuer Company","Open Date","Close Date","Listing Date","Lead Manager","Market Maker","Issue Price (Rs)","Issue Size (Rs Cr.)","Lot Size","Exchange","Compare"
"Fourth Dimension Solutions Ltd IPO","Dec 30, 2015","Jan 07, 2016","","Sarthi Capital Advisors","","30.00","8.68","4,000","NSE SME",""
"OFS Technologies Ltd IPO","Dec 28, 2015","Dec 31, 2015","","V B Desai Financial Services","","25.00","4.25","6,000","BSE SME",""
"Suncare Traders Ltd IPO","Dec 15, 2015","Dec 18, 2015","","Corporate Strategic Allianz","","64.00","24.22","1,600","BSE SME",""
"Navigant Corporate Advisors Ltd IPO","Nov 30, 2015","Dec 07, 2015","","First Overseas Capital","","14.00","1.19","10,000","BSE SME",""
"Perfect Infraengineers Ltd IPO","Oct 30, 2015","Nov 04, 2015","","Keynote","","23.00","6.00","6,000","NSE SME",""
"Tejnaksh Healthcare Ltd IPO","Sep 30, 2015","Oct 12, 2015","","First Overseas Capital","","80.00","2.43","1,600","BSE SME",""
"Patdiam Jewellery Ltd IPO","Sep 30, 2015","Oct 05, 2015","","Pantomath Capital Advisors","","38.00","5.00","3,000","BSE SME",""
"Cawasji Behramji Catering Services Ltd IPO","Sep 29, 2015","Oct 05, 2015","","Hem Securities","","14.00","1.86","10,000","BSE SME",""
"Vaksons Automobiles Limited IPO","Sep 28, 2015","Oct 01, 2015","","Aryaman Financial Services","","26.00","6.24","4,000","BSE SME",""
"Bella Casa Fashion & Retail Limited IPO","Sep 28, 2015","Sep 30, 2015","","Hem Securities","","14.00","3.43","10,000","BSE SME",""
"Vishal Bearings Ltd IPO","Sep 28, 2015","Sep 30, 2015","","Hem Securities","","25.00","3.24","6,000","BSE SME",""
"Ahimsa Industries Ltd IPO","Sep 24, 2015","Oct 01, 2015","","Sarthi Capital Advisors","","25.00","3.80","6,000","NSE SME",""
"Shaival Reality Ltd IPO","Sep 15, 2015","Sep 18, 2015","","Sarthi Capital Advisors","","100.00","5.28","1,200","NSE SME",""
"Sri Krishna Constructions (India) Ltd IPO","Sep 10, 2015","Sep 15, 2015","","Pantomath Capital Advisors","","45.00","11.34","3,000","BSE SME",""
"P. B. Films Limited IPO","Sep 01, 2015","Sep 07, 2015","","Guiness Corporate Advisors","","10.00","5.00","","BSE SME",""
"H.K. Trade International Limited IPO","Aug 31, 2015","Sep 03, 2015","","Intensive Fiscal","","18.00","2.29","","BSE SME",""
"Universal Autofoundry Limited IPO","Aug 19, 2015","Aug 21, 2015","","Hem Securities","","15.00","3.24","8,000","BSE SME",""
"Oyeeee Media Ltd IPO","Aug 13, 2015","Aug 19, 2015","","First Overseas Capital","","40.00","15.90","3,000","BSE SME",""
"Mangalam Seeds Limited IPO","Jul 29, 2015","Jul 31, 2015","","Pantomath Capital Advisors","","50.00","5.70","3,000","BSE SME",""
"Emkay Taps and Cutting Tools Limited IPO","Jul 27, 2015","Jul 30, 2015","","Hem Securities","","330.00","15.55","400","BSE SME",""
"Pecos Hotels and Pubs Ltd IPO","Jul 23, 2015","Jul 28, 2015","","Sarthi Capital Advisors","","50.00","2.30","3,000","BSE SME",""
"Amrapali Fincap Ltd IPO","Jul 20, 2015","Jul 22, 2015","","Corporate Strategic Allianz","","120.00","42.48","1,200","BSE SME",""
"Loyal Equipments Ltd IPO","Jul 03, 2015","Jul 07, 2015","","Hem Securities","","18.00","3.24","8,000","BSE SME",""
"Gala Print City Ltd IPO","Jun 30, 2015","Jul 06, 2015","","Guiness Corporate Advisors","","24.00","3.04","6,000","BSE SME",""
"M D Inducto Cast Ltd IPO","Jun 30, 2015","Jul 02, 2015","","Pantomath Capital Advisors","","27.00","17.24","4,000","BSE SME",""
"MRSS India IPO","Jun 30, 2015","Jul 02, 2015","","Pantomath Capital Advisors","","12.75","1.43","10,000","BSE SME",""
"Jiya Eco Products Ltd IPO","Jun 29, 2015","Jul 02, 2015","","Pantomath Capital Advisors","","19.00","4.58","6,000","BSE SME",""
"VMV Holidays Ltd IPO","Jun 29, 2015","Jul 01, 2015","","Guiness Corporate Advisors","","10.00","1.56","10,000","BSE SME",""
"Mishka Exim Ltd IPO","Jun 26, 2015","Jun 30, 2015","","First Overseas Capital","","10.00","5.45","10,000","BSE SME",""
"Junction Fabrics and Apparels Ltd IPO","Jun 25, 2015","Jun 29, 2015","","Hem Securities","","16.00","1.60","8,000","BSE SME",""
"Ambition Mica Ltd IPO","Jun 23, 2015","Jun 30, 2015","","Pantomath Capital Advisors","","40.00","4.30","3,000","BSE SME",""
"Funny Software Ltd IPO","May 14, 2015","May 20, 2015","","First Overseas Capital","","14.00","4.59","10,000","BSE SME",""
"O P Chains Ltd IPO","Mar 30, 2015","Apr 08, 2015","","Hem Securities","","11.00","2.04","10,000","BSE SME",""
"Athena Constructions Ltd IPO","Mar 25, 2015","Mar 30, 2015","","First Overseas Capital","","10.00","2.50","10,000","BSE SME",""
"Yogya Enterprises Ltd IPO","Mar 25, 2015","Mar 30, 2015","","First Overseas Capital","","15.00","1.50","8,000","BSE SME",""
"Filtra Consultants and Engineers Ltd IPO","Mar 24, 2015","Mar 30, 2015","","Pantomath Capital Advisors","","42.00","3.11","3,000","BSE SME",""
"Supreme (India) Impex Ltd IPO","Mar 16, 2015","Mar 18, 2015","","Pantomath Capital Advisors","","60.00","7.87","2,000","NSE SME",""
"AGI Infra Ltd IPO","Mar 10, 2015","Mar 13, 2015","","Aryaman Financial Services","","54.00","14.99","2,000","BSE SME",""
"SSPN Finance Ltd IPO","Mar 10, 2015","Mar 12, 2015","","First Overseas Capital","","20.00","1.50","6,000","BSE SME",""
"Mahabir Metallex Ltd IPO","Mar 09, 2015","Mar 12, 2015","","Sarthi Capital Advisors","","10.00","3.90","10,000","BSE SME",""
"Akme Star Housing Finance Ltd IPO","Feb 25, 2015","Mar 05, 2015","","Sarthi Capital Advisors","","30.00","4.80","4,000","BSE SME",""
"Karnavati Finance Ltd IPO","Jan 19, 2015","Jan 21, 2015","","Corporate Strategic Allianz","","10.00","2.58","10,000","BSE SME",""
"Raghuvansh Agrofarms Ltd IPO","Jan 09, 2015","Jan 13, 2015","","Sobhagya Capital Options","","11.00","3.96","10,000","BSE SME",""
