"Company Name","Open Date","Close Date","Size (Rs Cr)","QIB (x)","NII (x)","Retail (x)","Total (x)","Applications"
"3C IT Solutions & Telecoms (India) Limited","Jun 04, 2024","Jun 07, 2024","11.44","","10.63","29.79","20.21","18,722 (35.87x)"
"Magenta Lifecare Limited","Jun 05, 2024","Jun 07, 2024","7.00","","1145.78","778.41","983.19","2,36,923 (999.68x)"
"Sattrix Information Security Limited","Jun 05, 2024","Jun 07, 2024","21.78","","87.88","37.76","70.44","44,837 (52.50x)"
"TBI Corn Limited","May 31, 2024","Jun 04, 2024","44.94","81.41","516.50","523.29","231.21","2,58,158 (194.69x)"
"Associated Coaters Limited","May 30, 2024","Jun 03, 2024","5.11","","239.63","494.99","371.14","1,31,588 (739.26x)"
"Aimtron Electronics Limited","May 30, 2024","Jun 03, 2024","87.02","69.93","202.74","71.62","99.24","1,60,563 (71.62x)"
"Ztech India Limited","May 29, 2024","May 31, 2024","37.30","123.10","832.37","315.59","371.39","2,96,658 (315.59x)"
"Beacon Trusteeship Limited","May 28, 2024","May 30, 2024","32.52","163.86","779.38","502.49","465.20","4,52,742 (502.49x)"
"Vilas Transcore Limited","May 27, 2024","May 29, 2024","95.26","114.64","449.21","151.42","204.77","3,26,166 (151.42x)"
"GSM Foils Limited","May 24, 2024","May 28, 2024","11.01","","259.51","247.10","257.30","1,00,816 (247.10x)"
"HOAC Foods India Limited","May 16, 2024","May 21, 2024","5.54","","1432.60","2556.46","2013.64","4,52,493 (2556.46x)"
"Rulka Electricals Limited","May 16, 2024","May 21, 2024","26.40","204.22","1350.15","658.32","676.83","4,10,134 (658.32x)"
"Quest Laboratories Limited","May 15, 2024","May 17, 2024","43.16","57.20","184.10","57.63","85.26","71,975 (57.63x)"
"Indian Emulsifier Limited","May 13, 2024","May 16, 2024","42.39","175.95","779.63","484.66","460.07","5,18,586 (484.66x)"
"Veritaas Advertising Limited","May 13, 2024","May 15, 2024","8.48","102.41","629.56","989.44","621.62","2,04,814 (989.44x)"
"Mandeep Auto Industries Limited","May 13, 2024","May 15, 2024","25.25","","61.54","90.57","77.23","81,018 (205.11x)"
"ABS Marine Services Limited","May 10, 2024","May 15, 2024","96.29","109.30","270.94","110.24","144.44","2,36,910 (110.24x)"
"Piotex Industries Limited","May 10, 2024","May 14, 2024","14.47","","115.21","93.33","107.44","72,024 (118.27x)"
"Aztec Fluids & Machinery Limited","May 10, 2024","May 14, 2024","24.12","107.93","341.94","228.43","218.38","1,66,207 (277.47x)"
"Premier Roadlines Limited","May 10, 2024","May 14, 2024","40.36","89.95","180.25","106.50","117.57","1,06,711 (106.50x)"
"Energy-Mission Machineries (India) Limited","May 09, 2024","May 13, 2024","41.15","161.92","605.19","289.36","320.67","2,87,050 (289.36x)"
"Silkflex Polymers (India) Limited","May 07, 2024","May 10, 2024","18.11","","36.59","35.97","39.30","29,711 (35.97x)"
"TGIF Agribusiness Limited","May 08, 2024","May 10, 2024","6.39","","35.35","32.92","37.13","10,906 (9.09x)"
"Refractory Shapes Limited","May 06, 2024","May 09, 2024","18.60","90.59","464.43","259.56","255.08","1,29,522 (259.56x)"
"Winsol Engineers Limited","May 06, 2024","May 09, 2024","23.36","207.23","1087.81","780.15","682.14","5,04,758 (780.15x)"
"Finelistings Technologies Limited","May 07, 2024","May 09, 2024","13.53","","29.85","38.96","37.44","23,784 (45.65x)"
"Slone Infosystems Limited","May 03, 2024","May 07, 2024","11.06","","756.88","540.80","667.81","2,24,973 (540.80x)"
"Sai Swami Metals & Alloys Limited","Apr 30, 2024","May 03, 2024","15.00","","533.83","529.01","543.72","4,29,046 (723.52x)"
"Amkay Products Limited","Apr 30, 2024","May 03, 2024","12.61","173.04","987.34","973.14","748.03","5,10,613 (1340.19x)"
"Storage Technologies and Automation Ltd","Apr 30, 2024","May 03, 2024","29.95","117.86","577.02","242.74","278.82","2,68,741 (337.19x)"
"Shivam Chemicals Limited","Apr 23, 2024","Apr 25, 2024","20.18","","4.33","8.88","6.61","7,689 (10.59x)"
"Varyaa Creations Limited","Apr 22, 2024","Apr 25, 2024","20.10","","1.08","6.09","3.59","4,269 (6.72x)"
"Emmforce Autotech Limited","Apr 23, 2024","Apr 25, 2024","53.90","160.58","861.98","267.62","364.37","4,79,142 (314.40x)"
"Faalcon Concepts Limited","Apr 19, 2024","Apr 23, 2024","12.09","","93.27","47.17","71.28","27,324 (59.02x)"
"Grill Splendour Services Limited","Apr 15, 2024","Apr 18, 2024","16.47","","4.59","12.78","8.68","6,939 (12.78x)"
"Ramdevbaba Solvent Limited","Apr 15, 2024","Apr 18, 2024","50.27","65.95","314.46","79.96","126.21","97,956 (79.96x)"
"Greenhitech Ventures Limited","Apr 12, 2024","Apr 16, 2024","6.30","","921.60","597.41","769.95","1,63,764 (822.93x)"
"DCG Cables & Wires Limited","Apr 08, 2024","Apr 10, 2024","49.99","","11.53","21.70","16.96","42,926 (21.70x)"
"Teerth Gopicon Limited","Apr 08, 2024","Apr 10, 2024","44.40","","97.12","44.33","75.54","70,177 (44.33x)"
